37.4279507907	-122.174186895	Friday
37.4279459366	-122.1742235	Friday
37.4279768348	-122.174192835	Saturday
37.4279603174	-122.174237208	Monday
37.4289493134	-122.172952399	Monday
37.4268276058	-122.155998973	Wednesday
37.4271482975	-122.155842316	Wednesday
37.4270121754	-122.155934349	Wednesday
37.4269294805	-122.15842747	Wednesday
37.4279548586	-122.174154896	Monday
37.4279397344	-122.174177681	Monday
37.4279397344	-122.174177681	Monday
37.4279397344	-122.174177681	Monday
37.4268130402	-122.155982219	Today
37.4300364796	-122.163158691	Today
37.4300364796	-122.163158691	Today
37.4300364796	-122.163158691	Today
37.4267541929	-122.155986804	Thursday
37.4267541929	-122.155986804	Thursday
37.426720386	-122.155975397	Thursday
37.4268704793	-122.155951364	Thursday
37.4270722317	-122.155917585	Thursday
37.427072567	-122.155910712	Thursday
37.4270898895	-122.157665344	Thursday
37.4268703116	-122.159199687	Thursday
37.4231785443	-122.172342595	Wednesday
37.4232526893	-122.172321792	Wednesday
37.4232526893	-122.172321792	Wednesday
37.4234555535	-122.172287931	Wednesday
37.4234555535	-122.172287931	Wednesday
37.4251875608	-122.170905518	Wednesday
37.4251875608	-122.170905518	Wednesday
37.4278808758	-122.173967762	Wednesday
37.4278451351	-122.174130738	Wednesday
37.4271482975	-122.155842316	Wednesday
37.427960104	-122.174163675	Friday
37.4279551343	-122.174198582	Friday
37.4214655589	-122.159229319	Saturday
37.4212932447	-122.159070019	Saturday
37.4213522114	-122.159090554	Saturday
37.4213522114	-122.159090554	Saturday
37.4213082902	-122.158993408	Saturday
37.4279417692	-122.174109823	Wednesday
37.4278629272	-122.17414546	Wednesday
37.4278685366	-122.174161799	Wednesday
37.4278685366	-122.174161799	Wednesday
37.4278475999	-122.174160875	Wednesday
37.4278475999	-122.174160875	Wednesday
37.427968	-122.174191	Wednesday
37.446968	-122.171927	Saturday
37.446968	-122.171927	Saturday
37.4270462897	-122.155880202	March 9
37.4270462897	-122.155880202	March 9
37.4268263923	-122.156139668	March 9
37.4268263923	-122.156139668	March 9
37.4268263923	-122.156139668	March 9
37.4268263923	-122.156139668	March 9
37.4268263923	-122.156139668	March 9
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4270398775	-122.155882381	March 7
37.4269514607	-122.15589471	March 7
37.4269514607	-122.15589471	March 7
37.4269039692	-122.155891313	March 7
37.4270744529	-122.156015486	March 7
37.4270744529	-122.156015486	March 7
37.4249277218	-122.156885108	March 7
37.4249277218	-122.156885108	March 7
37.4242479494	-122.157431608	March 7
37.4242479494	-122.157431608	March 7
37.4242479494	-122.157431608	March 7
37.4242479494	-122.157431608	March 7
37.4235973526	-122.158327442	March 7
37.426742603	-122.156038257	March 7
37.426742603	-122.156038257	March 7
37.4270375306	-122.155938372	March 7
37.4270407119	-122.15594523	March 7
37.4268411603	-122.155887963	March 7
37.4268163425	-122.155985873	March 7
37.4268491531	-122.155912582	March 7
37.4283256539	-122.174323924	March 6
37.4284710966	-122.174403047	March 6
37.4284710966	-122.174403047	March 6
37.4285664317	-122.174462713	March 6
37.4285664317	-122.174462713	March 6
37.4283874897	-122.174615234	March 6
37.4283399008	-122.17446805	March 6
37.4270153605	-122.155925045	March 5
37.4279681283	-122.174200288	March 5
37.4279681283	-122.174200288	March 5
37.4279572187	-122.174127659	March 5
37.4211506625	-122.158746582	March 5
37.4211868784	-122.158886707	March 5
37.42112963	-122.158964658	March 5
37.42112963	-122.158964658	March 5
37.4266933145	-122.155969325	March 4
37.4266603106	-122.155937423	March 4
37.4237696393	-122.155458403	March 4
37.4237696393	-122.155458403	March 4
37.423786379	-122.155455953	March 4
37.423786379	-122.155455953	March 4
37.4239913228	-122.155324229	March 4
37.4239913228	-122.155324229	March 4
37.4239913228	-122.155324229	March 4
37.4239913228	-122.155324229	March 4
37.4239913228	-122.155324229	March 4
37.4237337616	-122.155032037	March 4
37.4240594607	-122.154941482	March 4
37.4243599316	-122.155584907	March 4
37.4253334305	-122.156637124	March 4
37.4268086398	-122.155846018	March 4
37.4266814559	-122.155954053	March 4
37.4266814559	-122.155954053	March 4
37.4270177074	-122.155937199	March 4
37.4269404682	-122.156007523	March 4
37.4267137478	-122.155931413	March 4
37.4267137478	-122.155931413	March 4
37.4267137478	-122.155931413	March 4
37.4269364942	-122.155903233	March 4
37.4269794146	-122.155947401	March 4
37.4269794146	-122.155947401	March 4
37.4269794146	-122.155947401	March 4
37.4266922757	-122.155992602	March 4
37.4266513155	-122.155957035	March 4
37.4266513155	-122.155957035	March 4
37.4266513155	-122.155957035	March 4
37.4267494578	-122.156044966	March 4
37.4269282821	-122.155873028	March 4
37.4269282821	-122.155873028	March 4
37.4267350229	-122.156004653	March 4
37.4269658653	-122.155851955	March 3
37.4268136063	-122.155968958	March 3
37.4268136063	-122.155968958	March 3
37.4268136063	-122.155968958	March 3
37.428856286	-122.172124433	March 2
37.4286875502	-122.17200866	March 2
37.4281242025	-122.173538525	March 2
37.4281242025	-122.173538525	March 2
37.427859963	-122.173841866	March 2
37.427859963	-122.173841866	March 2
37.4270896661	-122.156054629	March 1
37.4201619812	-122.157196999	March 1
37.4249240929	-122.157286332	March 1
37.4249240929	-122.157286332	March 1
